"Reference","Value","Footprint","Datasheet","数量"
"C11","0.1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-13582","1"
"C12","0.1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-13582","1"
"C13","0.1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-13582","1"
"C14","0.1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-13582","1"
"C15","100u","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","P-17877","1"
"C16","0.1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-13582","1"
"C17","0.1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-13582","1"
"C18","1000p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","satodenki","1"
"C19","1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-13582","1"
"C20","0.1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-13582","1"
"C21","NM","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-15940","1"
"C22","0.1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-13582","1"
"C31","0.1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-15940","1"
"C32","NM","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~","1"
"C33","1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-15940","1"
"C34","470u","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","P-10273","1"
"C35","22p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","satodenki","1"
"C36","0.1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-15940","1"
"C37","10p","UserLib:C_TRIM_P6.00mm","P-15470","1"
"C38","0.1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-15940","1"
"C39","33p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","satodenki","1"
"C40","1000p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","satodenki","1"
"C41","1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-15940","1"
"C42","1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-15940","1"
"C43","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","P-17897","1"
"C45","0.1u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~","1"
"C51","10p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-04058","1"
"C52","22p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","satodenki","1"
"C53","18p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-04060","1"
"C54","22p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","satodenki","1"
"C55","10p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","P-04058","1"
"C56","NM","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~","1"
"D11","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","I-08332","1"
"D12","LED-G","digikey-footprints:LED_3mm_Radial","I-11635","1"
"D13","1SS178","Diode_THT:D_A-405_P2.54mm_Vertical_AnodeUp","I-07783","1"
"D14","LED-Y","digikey-footprints:LED_3mm_Radial","I-11639","1"
"D15","1SS178","Diode_THT:D_A-405_P2.54mm_Vertical_AnodeUp","I-07783","1"
